code,location:,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
596337,Oslavice,552,383,380,32,1,0,40,0,11,21,1,3,7,0,3,32,0,29,94,0,69,0,0,3,1,23,10
511412,OslaviËka,90,67,66,1,0,0,11,0,2,5,0,0,1,0,0,3,0,0,25,0,14,0,0,0,0,4,0
596345,Osov· BÌt˝öka,708,456,452,25,0,0,38,1,8,38,5,3,8,6,0,38,1,9,148,0,76,1,2,0,0,40,5
596353,OsovÈ,58,42,42,6,0,0,0,0,0,1,1,0,0,0,0,0,0,7,20,0,5,0,0,0,0,2,0
596361,Ostrov nad Oslavou,764,508,506,54,0,2,40,0,16,44,3,3,5,0,0,56,1,13,151,2,68,0,4,1,3,39,1
596370,OtÌn,238,163,163,8,0,0,18,1,6,9,0,1,0,0,0,12,0,7,53,3,31,0,0,0,1,13,0
596388,PavlÌnov,187,150,148,3,0,0,10,0,1,14,0,1,0,0,0,13,0,4,49,1,40,0,0,1,0,10,1
596396,Pavlov,270,189,189,6,0,0,8,0,7,24,1,0,0,0,0,21,0,5,66,0,41,0,0,0,0,8,2
596418,Petr·veË,190,120,120,12,0,0,11,0,6,12,0,0,1,0,0,16,0,6,24,0,14,0,0,0,0,18,0
549916,Pik·rec,278,189,187,9,0,0,12,1,6,32,1,3,0,1,1,8,0,6,32,0,59,0,2,0,0,12,2
596434,PÌseËnÈ,157,116,116,10,1,0,10,0,5,2,0,0,1,0,0,15,0,11,35,2,17,0,0,1,0,4,2
